"States"	"Params"	"Trial"	"Time"	"Distance"	"Iterations"	"ResFit"	"GoalFit"	"MissFitFlag"	"Alg"
"1"	2	1	0	0.042	0.005	3	0.181	0.198	0	0
"2"	2	1	1	0	0	0	0.148	0.198	0	0
"3"	2	1	2	0	0	0	0.059	0.198	0	0
"4"	2	1	3	0.173	0.017	15	0.196	0.198	0	0
"5"	2	1	4	0.076	0.008	6	0.189	0.198	0	0
"6"	2	1	5	0.043	0.005	3	0.166	0.198	0	0
"7"	2	1	6	0.034	0.004	2	0.151	0.198	0	0
"8"	2	1	7	0.011	0.002	0	0.271	0.198	1	0
"9"	2	1	8	0	0	0	0.044	0.198	0	0
"10"	2	1	9	0.098	0.01	8	0.177	0.198	0	0
"11"	2	1	10	0.096	0.009	8	0.026	0.198	0	0
"12"	2	1	11	0.064	0.006	5	0.183	0.198	0	0
"13"	2	1	12	0	0	0	0.011	0.198	0	0
"14"	2	1	13	0.224	0.022	20	0.193	0.198	0	0
"15"	2	1	14	0.076	0.007	6	0.044	0.198	0	0
"16"	2	1	15	0.17	0.016	15	0.194	0.198	0	0
"17"	2	1	16	0.061	0.006	4	0.143	0.198	0	0
"18"	2	1	17	0.032	0.004	2	0.183	0.198	0	0
"19"	2	1	18	0.128	0.009	11	0.101	0.198	0	0
"20"	2	1	19	0.106	0.009	9	0.001	0.198	0	0
"21"	2	2	20	2.271	0.016	150	0.198	0.198	0	0
"22"	2	2	21	5.143	0.014	329	0.197	0.198	0	0
"23"	2	2	22	2.786	0.015	186	0.196	0.198	0	0
"24"	2	2	23	3.242	0.018	217	0.194	0.198	0	0
"25"	2	2	24	5.238	0.027	351	0.197	0.198	0	0
"26"	2	2	25	4.326	0.027	283	0.197	0.198	0	0
"27"	2	2	26	0.115	0.01	6	0.14	0.198	0	0
"28"	2	2	27	0.18	0.015	10	0.036	0.198	0	0
"29"	2	2	28	5.926	0.021	338	0.194	0.198	0	0
"30"	2	2	29	0.253	0.012	15	0.027	0.198	0	0
"31"	2	2	30	0.077	0.006	4	0.15	0.198	0	0
"32"	2	2	31	14.565	0.076	912	0.198	0.198	0	0
"33"	2	2	32	5.916	0.008	316	0.197	0.198	0	0
"34"	2	2	33	0.115	0.005	5	0.154	0.198	0	0
"35"	2	2	34	4.967	0.019	296	0.196	0.198	0	0
"36"	2	2	35	4.587	0.019	260	0.198	0.198	0	0
"37"	2	2	36	0.971	0.013	61	0.162	0.198	0	0
"38"	2	2	37	26.716	0.011	1559	0.198	0.198	0	0
"39"	2	2	38	0.463	0.011	28	0.101	0.198	0	0
"40"	2	2	39	0.263	0.009	15	0.056	0.198	0	0
"41"	3	1	40	0.023	0	0	0.329	0.297	1	0
"42"	3	1	41	0.209	0.009	8	0.128	0.297	0	0
"43"	3	1	42	0.128	0.006	5	0.227	0.297	0	0
"44"	3	1	43	0	0	0	0.104	0.297	0	0
"45"	3	1	44	0.133	0.006	5	0.027	0.297	0	0
"46"	3	1	45	0.218	0.009	9	0.148	0.297	0	0
"47"	3	1	46	0.402	0.019	18	0.294	0.297	0	0
"48"	3	1	47	0.021	0.002	0	0.33	0.297	1	0
"49"	3	1	48	0	0	0	0.086	0.297	0	0
"50"	3	1	49	0.182	0.008	7	0.017	0.297	0	0
"51"	3	1	50	0	0	0	0.021	0.297	0	0
"52"	3	1	51	0	0	0	0.008	0.297	0	0
"53"	3	1	52	0.254	0.009	9	0.009	0.297	0	0
"54"	3	1	53	0.286	0.01	11	0.056	0.297	0	0
"55"	3	1	54	0	0	0	0.206	0.297	0	0
"56"	3	1	55	0	0	0	0.037	0.297	0	0
"57"	3	1	56	0.145	0.006	5	0.039	0.297	0	0
"58"	3	1	57	0	0	0	0.126	0.297	0	0
"59"	3	1	58	0.318	0.009	13	0.042	0.297	0	0
"60"	3	1	59	0.301	0.015	13	0.268	0.297	0	0
"61"	3	2	60	199.976	0.016	6355	0.319	0.297	1	0
"62"	3	2	61	10.513	0.044	324	0.294	0.297	0	0
"63"	3	2	62	0.341	0.015	10	0.174	0.297	0	0
"64"	3	2	63	0.248	0.011	7	0.011	0.297	0	0
"65"	3	2	64	0.961	0.01	29	0.185	0.297	0	0
"66"	3	2	65	0.65	0.013	20	0.175	0.297	0	0
"67"	3	2	66	5.548	0.026	180	0.279	0.297	0	0
"68"	3	2	67	0	0	0	0.011	0.297	0	0
"69"	3	2	68	0	0	0	0.198	0.297	0	0
"70"	3	2	69	0.095	0.004	2	0.294	0.297	0	0
"71"	3	2	70	0.19	0.006	5	0.272	0.297	0	0
"72"	3	2	71	0.49	0.017	15	0.297	0.297	0	0
"73"	3	2	72	0.092	0.006	2	0.233	0.297	0	0
"74"	3	2	73	0.612	0.008	19	0.258	0.297	0	0
"75"	3	2	74	0	0	0	0.162	0.297	0	0
"76"	3	2	75	1.377	0.007	44	0.261	0.297	0	0
"77"	3	2	76	0.156	0.006	4	0.033	0.297	0	0
"78"	3	2	77	0.346	0.007	10	0.26	0.297	0	0
"79"	3	2	78	0.338	0.009	10	0.178	0.297	0	0
"80"	3	2	79	0	0	0	0.035	0.297	0	0
"81"	3	3	80	0.658	0.012	15	0.172	0.297	0	0
"82"	3	3	81	0.48	0.017	11	0.292	0.297	0	0
"83"	3	3	82	0.571	0.016	13	0.24	0.297	0	0
"84"	3	3	83	2.61	0.01	64	0.296	0.297	0	0
"85"	3	3	84	0.723	0.015	17	0.278	0.297	0	0
"86"	3	3	85	1.292	0.014	31	0.284	0.297	0	0
"87"	3	3	86	0.574	0.015	13	0.084	0.297	0	0
"88"	3	3	87	0.532	0.016	12	0.273	0.297	0	0
"89"	3	3	88	0.532	0.011	12	0.261	0.297	0	0
"90"	3	3	89	4.261	0.012	104	0.29	0.297	0	0
"91"	3	3	90	176.711	0.015	4353	0.297	0.297	0	0
"92"	3	3	91	93.965	0.075	2304	0.297	0.297	0	0
"93"	3	3	92	45.894	0.05	1135	0.297	0.297	0	0
"94"	3	3	93	0.132	0.005	2	0.219	0.297	0	0
"95"	3	3	94	0.398	0.008	8	0.141	0.297	0	0
"96"	3	3	95	2.112	0.055	50	0.294	0.297	0	0
"97"	3	3	96	31.551	0.031	774	0.297	0.297	0	0
"98"	3	3	97	10.925	0.011	269	0.295	0.297	0	0
"99"	3	3	98	0.575	0.011	13	0.21	0.297	0	0
"100"	3	3	99	30.963	0.017	764	0.297	0.297	0	0
"101"	3	4	100	0.554	0.022	10	0.296	0.297	0	0
"102"	3	4	101	31.525	0.029	640	0.297	0.297	0	0
"103"	3	4	102	0.99	0.017	19	0.264	0.297	0	0
"104"	3	4	103	0.789	0.019	15	0.245	0.297	0	0
"105"	3	4	104	0.395	0.011	7	0.225	0.297	0	0
"106"	3	4	105	199.985	0.024	4025	0.516	0.297	1	0
"107"	3	4	106	0.596	0.009	10	0.279	0.297	0	0
"108"	3	4	107	0.743	0.018	12	0.043	0.297	0	0
"109"	3	4	108	5.093	0.017	101	0.293	0.297	0	0
"110"	3	4	109	0.692	0.016	13	0.271	0.297	0	0
"111"	3	4	110	199.996	0.028	4006	1.31	0.297	1	0
"112"	3	4	111	123.545	0.04	2484	0.297	0.297	0	0
"113"	3	4	112	0.798	0.016	15	0.292	0.297	0	0
"114"	3	4	113	0.909	0.016	17	0.155	0.297	0	0
"115"	3	4	114	0.35	0.011	6	0.18	0.297	0	0
"116"	3	4	115	4.618	0.019	92	0.296	0.297	0	0
"117"	3	4	116	71.622	0.038	1426	0.297	0.297	0	0
"118"	3	4	117	5.063	0.02	101	0.262	0.297	0	0
"119"	3	4	118	0.891	0.012	17	0.288	0.297	0	0
"120"	3	4	119	2.034	0.025	40	0.296	0.297	0	0
"121"	4	1	120	0.238	0.007	7	0.098	0.396	0	0
"122"	4	1	121	0.181	0.006	5	0.089	0.396	0	0
"123"	4	1	122	0.122	0.005	3	0.274	0.396	0	0
"124"	4	1	123	0	0	0	0.003	0.396	0	0
"125"	4	1	124	0.223	0.007	6	0.285	0.396	0	0
"126"	4	1	125	0.126	0.005	3	0.249	0.396	0	0
"127"	4	1	126	0.498	0.017	15	0.377	0.396	0	0
"128"	4	1	127	0.306	0.009	9	0.104	0.396	0	0
"129"	4	1	128	0.063	0.002	1	0.336	0.396	0	0
"130"	4	1	129	0.092	0.004	2	0.287	0.396	0	0
"131"	4	1	130	0	0	0	0.007	0.396	0	0
"132"	4	1	131	0.165	0.006	4	0.119	0.396	0	0
"133"	4	1	132	0.308	0.009	9	0.136	0.396	0	0
"134"	4	1	133	0	0	0	0.209	0.396	0	0
"135"	4	1	134	0.177	0.007	5	0.224	0.396	0	0
"136"	4	1	135	0.06	0.003	1	0.259	0.396	0	0
"137"	4	1	136	0.09	0.004	2	0.361	0.396	0	0
"138"	4	1	137	0	0	0	0.002	0.396	0	0
"139"	4	1	138	0.517	0.017	16	0.396	0.396	0	0
"140"	4	1	139	0.029	0.002	0	0.411	0.396	1	0
"141"	4	2	140	0.816	0.022	18	0.329	0.396	0	0
"142"	4	2	141	0.432	0.009	9	0.046	0.396	0	0
"143"	4	2	142	17.037	0.036	396	0.391	0.396	0	0
"144"	4	2	143	0.307	0.01	6	0.275	0.396	0	0
"145"	4	2	144	0.443	0.01	9	0.357	0.396	0	0
"146"	4	2	145	0.397	0.011	8	0.152	0.396	0	0
"147"	4	2	146	74.616	0.164	1720	0.396	0.396	0	0
"148"	4	2	147	0	0	0	0.364	0.396	0	0
"149"	4	2	148	6.952	0.01	161	0.393	0.396	0	0
"150"	4	2	149	13.731	0.021	320	0.394	0.396	0	0
"151"	4	2	150	0.217	0.006	4	0.107	0.396	0	0
"152"	4	2	151	8.101	0.016	188	0.392	0.396	0	0
"153"	4	2	152	0.423	0.013	9	0.24	0.396	0	0
"154"	4	2	153	0.301	0.009	6	0.304	0.396	0	0
"155"	4	2	154	0.476	0.012	10	0.367	0.396	0	0
"156"	4	2	155	0	0	0	0.119	0.396	0	0
"157"	4	2	156	0.808	0.012	18	0.377	0.396	0	0
"158"	4	2	157	0.254	0.008	5	0.12	0.396	0	0
"159"	4	2	158	0.339	0.009	7	0.286	0.396	0	0
"160"	4	2	159	19.383	0.014	455	0.395	0.396	0	0
"161"	4	3	160	102.626	0.024	1818	0.395	0.396	0	0
"162"	4	3	161	0.558	0.016	9	0.15	0.396	0	0
"163"	4	3	162	0.224	0.004	3	0.363	0.396	0	0
"164"	4	3	163	38.176	0.026	681	0.394	0.396	0	0
"165"	4	3	164	1.002	0.008	17	0.344	0.396	0	0
"166"	4	3	165	199.952	0.023	3509	0.973	0.396	1	0
"167"	4	3	166	33.115	0.013	586	0.395	0.396	0	0
"168"	4	3	167	8.568	0.034	152	0.396	0.396	0	0
"169"	4	3	168	1.173	0.018	20	0.364	0.396	0	0
"170"	4	3	169	21.128	0.012	370	0.392	0.396	0	0
"171"	4	3	170	2.569	0.039	43	0.378	0.396	0	0
"172"	4	3	171	199.948	0.019	3536	0.609	0.396	1	0
"173"	4	3	172	1.239	0.02	21	0.374	0.396	0	0
"174"	4	3	173	0.792	0.015	13	0.334	0.396	0	0
"175"	4	3	174	0.288	0.006	4	0.106	0.396	0	0
"176"	4	3	175	0.692	0.015	11	0.163	0.396	0	0
"177"	4	3	176	0.397	0.009	6	0.283	0.396	0	0
"178"	4	3	177	0	0	0	0.308	0.396	0	0
"179"	4	3	178	199.988	0.087	3507	0.669	0.396	1	0
"180"	4	3	179	0.677	0.016	11	0.112	0.396	0	0
"181"	4	4	180	199.944	0.028	2855	1.102	0.396	1	0
"182"	4	4	181	8.322	0.018	118	0.373	0.396	0	0
"183"	4	4	182	12.592	0.012	179	0.396	0.396	0	0
"184"	4	4	183	43.44	0.014	620	0.396	0.396	0	0
"185"	4	4	184	2.794	0.009	39	0.378	0.396	0	0
"186"	4	4	185	8.788	0.015	125	0.376	0.396	0	0
"187"	4	4	186	0.489	0.01	6	0.379	0.396	0	0
"188"	4	4	187	49.721	0.03	701	0.394	0.396	0	0
"189"	4	4	188	116.525	0.034	1677	0.396	0.396	0	0
"190"	4	4	189	5.35	0.083	76	0.369	0.396	0	0
"191"	4	4	190	199.953	0.023	2850	3.227	0.396	1	0
"192"	4	4	191	12.823	0.02	179	0.389	0.396	0	0
"193"	4	4	192	18.126	0.024	255	0.396	0.396	0	0
"194"	4	4	193	1.063	0.015	14	0.305	0.396	0	0
"195"	4	4	194	0.852	0.011	11	0.225	0.396	0	0
"196"	4	4	195	0.938	0.02	12	0.384	0.396	0	0
"197"	4	4	196	1.317	0.016	17	0.359	0.396	0	0
"198"	4	4	197	49.758	0.023	703	0.395	0.396	0	0
"199"	4	4	198	8.422	0.037	117	0.396	0.396	0	0
"200"	4	4	199	0.862	0.018	11	0.285	0.396	0	0
"201"	4	5	200	1.179	0.024	12	0.37	0.396	0	0
"202"	4	5	201	119.828	0.021	1428	0.396	0.396	0	0
"203"	4	5	202	199.936	0.072	2386	0.64	0.396	1	0
"204"	4	5	203	9.155	0.01	108	0.38	0.396	0	0
"205"	4	5	204	199.997	0.062	2377	0.629	0.396	1	0
"206"	4	5	205	2.336	0.02	26	0.384	0.396	0	0
"207"	4	5	206	0.834	0.015	9	0.126	0.396	0	0
"208"	4	5	207	41.036	0.036	490	0.395	0.396	0	0
"209"	4	5	208	0.76	0.01	8	0.388	0.396	0	0
"210"	4	5	209	1.753	0.014	20	0.394	0.396	0	0
"211"	4	5	210	199.971	0.035	2376	1.829	0.396	1	0
"212"	4	5	211	1.013	0.012	11	0.287	0.396	0	0
"213"	4	5	212	2.198	0.021	25	0.377	0.396	0	0
"214"	4	5	213	199.97	0.023	2385	0.478	0.396	1	0
"215"	4	5	214	199.978	0.02	2369	0.425	0.396	1	0
"216"	4	5	215	3.23	0.012	37	0.393	0.396	0	0
"217"	4	5	216	0.91	0.013	10	0.337	0.396	0	0
"218"	4	5	217	1.372	0.02	15	0.284	0.396	0	0
